data_autuacao	cod_disciplina_ufabc_edit	disciplina_ufabc_edit	ch_disciplina_ufabc_edit	disciplina_fora	disciplina 1	disciplina 2	disciplina 3	disciplina 4	disciplina 5	disciplina 6	disciplina 7	disciplina 8	disciplina 9	Parecer
2024.3	ESHP012-13	INTRODUÇÃO AO DIREITO ADMINISTRATIVO	48h	DES0312 / DIREITO ADMINISTRATIVO II / 45H / 2014.2 / UNIVERSIDADE DE SÃO PAULO	DES0312 / DIREITO ADMINISTRATIVO II / 45H / 2014.2 / UNIVERSIDADE DE SÃO PAULO	DES0412 / CONTRATOS ADMINISTRATIVOS / 45H / 2015.1 / UNIVERSIDADE DE SÃO PAULO	DES0418 / PROCESSO ADMINISTRATIVO / 45H / 2015.2 / UNIVERSIDADE DE SÃO PAULO							Deferido
2024.3	ESHP013-13	INTRODUÇÃO AO DIREITO CONSTITUCIONAL	48h	DPC0316 / DIREITO PROCESSUAL CIVIL II: FORMAÇÃO, EXTINÇÃO E SUSPENSÃO DO PROCESSO, PETIÇÃO INICIAL, RESPOSTA DO RÉU, FASE ORDINÁRIA E JULGAMENTO ANTECIPADO / 45H / 2015.1 / UNIVERSIDADE DE SÃO PAULO	DPC0316 / DIREITO PROCESSUAL CIVIL II: FORMAÇÃO, EXTINÇÃO E SUSPENSÃO DO PROCESSO, PETIÇÃO INICIAL, RESPOSTA DO RÉU, FASE ORDINÁRIA E JULGAMENTO ANTECIPADO / 45H / 2015.1 / UNIVERSIDADE DE SÃO PAULO	DTB0315 / DIREITO PROCESSUAL DO TRABALHO / 30H / 2014.2 / UNIVERSIDADE DE SÃO PAULO	DTB0317 / SEGURIDADE SOCIAL / 30H / 2014.2 / UNIVERSIDADE DE SÃO PAULO	DTB0413 / INTERPRETAÇÃO CONSTITUCIONAL DO SISTEMA DE SEGURIDADE SOCIAL I / 60H / 2015.1 / UNIVERSIDADE DE SÃO PAULO						Deferido
2024.3	ESTO016-17	FENÔMENOS DE TRANSPORTE	48h	SUP.10271 (MECAB) / MECÂNICA APLICADA BÁSICA / 42,80H / 2021.1 / INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DE SÃO PAULO	SUP.10271 (MECAB) / MECÂNICA APLICADA BÁSICA / 42,80H / 2021.1 / INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DE SÃO PAULO	SUP.18657 (FETRA) / FENÔMENOS DE TRANSPORTE / 42,80H / 2021.1 / INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DE SÃO PAULO								Deferido
2024.3	ESTO011-17	FUNDAMENTOS DE DESENHO TÉCNICO	24h	SUP.10255 (DETAC) / DESENHO TÉCNICO AUXILIADO POR COMPUTADOR / 42,80H / 2020.1 / INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DE SÃO PAULO	SUP.10255 (DETAC) / DESENHO TÉCNICO AUXILIADO POR COMPUTADOR / 42,80H / 2020.1 / INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DE SÃO PAULO									Deferido
2024.3	ESTO006-17	MATERIAIS E SUAS PROPRIEDADES	48h	SUP.10256 (QUITE) / QUÍMICA TEÓRICA E EXPERIMENTAL / 42,80H / 2020.1 / INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DE SÃO PAULOINSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DE SÃO PAULO	SUP.10256 (QUITE) / QUÍMICA TEÓRICA E EXPERIMENTAL / 42,80H / 2020.1 / INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DE SÃO PAULOINSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DE SÃO PAULO	SUP.10272 (CIEMA) / CIÊNCIA DOS MATERIAIS / 28,50H / 2021.1 / INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DE SÃO PAULO								Deferido
2024.3	ESTO008-17	MECÂNICA DOS SÓLIDOS I	48h	SUP.10271 (MECAB) / MECÂNICA APLICADA BÁSICA / 42,80H / 2021.1 / INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DE SÃO PAULO	SUP.10271 (MECAB) / MECÂNICA APLICADA BÁSICA / 42,80H / 2021.1 / INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DE SÃO PAULO	SUP.10281 (REMAT) / RESISTÊNCIA DOS MATERIAIS / 42,80H / 2021.2 / INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DE SÃO PAULO								Indeferido
2024.3	NHH2009-13	ÉTICA	48h	1101 / ÉTICA / 60H / 2024.1 / UNIVERSIDADE ESTADUAL PAULISTA	1101 / ÉTICA / 60H / 2024.1 / UNIVERSIDADE ESTADUAL PAULISTA									Deferido
2024.3	ESZU006-17	ECONOMIA, SOCIEDADE E MEIO AMBIENTE	36h	4789 / SOCIEDADE,CULTURA,PORTO E MAR / 40H / 2019.1 / UNIVERSIDADE FEDERAL DE SÃO PAULO	4789 / SOCIEDADE,CULTURA,PORTO E MAR / 40H / 2019.1 / UNIVERSIDADE FEDERAL DE SÃO PAULO									Indeferido
2024.3	BCN0402-15	FUNÇÕES DE UMA VARIÁVEL	48h	4501 / CALCULO / 80H / 2020.1 / FACULDADE DE TECNOLOGIA DE MAUA	4501 / CALCULO / 80H / 2020.1 / FACULDADE DE TECNOLOGIA DE MAUA									Indeferido
2024.3	ESTU027-17	FUNDAMENTOS DE GEOLOGIA PARA ENGENHARIA	36h	6172 / INTRODUÇÃO À GEOLOGIA/ 40H / 2019.1 / UNIVERSIDADE FEDERAL DE SÃO PAULO  Visualizar Programa	6172 / INTRODUÇÃO À GEOLOGIA/ 40H / 2019.1 / UNIVERSIDADE FEDERAL DE SÃO PAULO  Visualizar Programa									Deferido
